Character,Age,Dead (1 = dead),Gender (1=male),Affiliation
Rhaella Targaryen,44,1,0,3
Rhaena Targaryen,54,1,0,3
Rhaenyra Targaryen,33,1,0,3
Rhaenys Targaryen,4,1,0,3
Rhaenys Targaryen,31,1,0,3
Rickard Karstark,60,1,1,1
Rickard Stark,55,1,1,1
Robar Royce,22,1,1,2
Robb Stark,16,1,1,1
Robert Baratheon,35,1,1,2
Rodrik Cassel,57,1,1,1
Rodrik Greyjoy,15,1,1,14
Red-headed Whore,32,1,0,0
Serena Blackfyre,27,1,0,3
Shae,19,1,0,4
Stableboy,11,1,1,0
Stafford Lannister,59,1,1,4
Steffon Baratheon,40,1,1,2
Stiv,36,1,1,10
Stonesnake,48,1,1,10
Styr,34,1,1,12
Talisa Stark,17,1,0,1
Tansy/Kyra,19,1,0,9
Skinchanger,40,1,1,12
Unnamed Member of Thirteen,54,1,1,13
Tommard Baratheon,0,1,1,2
Torrhen Karstark,13,1,1,1
Tytos Lannister,38,1,1,4
Tywin Lannister,67,1,1,4
Vardis Egen,34,1,1,15
Varly,38,1,1,1
Vayon Poole,65,1,1,1
Visenya Targaryen,66,1,0,3
Viserys II Targaryen,50,1,1,3
Viserys I Targaryen,52,1,1,3
Viserys Targaryen,23,1,1,3
Waymar Royce,19,1,1,10
Wendel Manderly,41,1,1,1
Wex Pyke,12,1,1,14
Will,27,1,1,10
Willem Darry,67,1,1,3
Willem Lannister,13,1,1,4
Wineseller,47,1,1,0
Wylla,36,1,0,1
Xaro Xhoan Daxos,33,1,1,0
Ygritte,19,1,0,12
Yoren,43,1,1,10
Zalla,3,1,0,0
Addam Marband,35,0,1,4
Aemon,102,1,1,10
Aeron Greyjoy,28,0,1,14
Aggo,19,0,1,3
Alannys Greyjoy,47,0,0,14
Alerie Tyrell,40,0,0,16
Alliser Thorne,53,0,1,10
Anguy,31,0,1,1
Anya Waynwood,68,0,0,15
Areo Hotah,44,0,1,5
Arya Stark,14,0,0,1
Balon Greyjoy,67,1,1,14
Barbrey Dustin,45,0,0,1
Barristan Selmy,63,0,1,3
Bethany Redwyne,33,0,0,6
Larra Blackmont,37,0,0,5
Bran Stark,13,0,1,1
Brienne of Tarth,20,0,0,2
Bron,51,0,1,2
Brynden Tully,55,0,1,6
Calla,7,0,0,3
Captain's Daughter,20,0,0,14
Cersei Lannister,34,0,0,4
Chella,25,0,0,4
Colen,25,0,1,2
Crastor's Last Son,1,1,1,12
Daario Naharis,33,0,1,3
Daemon Sand,22,0,1,5
Daenerys Targaryen,17,0,0,3
Davos Seaworth,40,0,1,2
Denys Mallister,44,0,1,10
Roland Crakehall,28,0,1,2
Donnel Waynwood,23,0,1,15
Doran Martell,52,0,1,5
Dorea Sand,8,0,0,5
Dorna Lannister,45,0,0,4
Eddison Tollett,30,0,1,10
Edmure Tully,40,0,1,6
Elia Sand,14,0,0,5
Ellaria Sand,35,0,0,5
Eon Hunter,80,0,1,15
Falyse Stokeworth,35,0,1,2
First Mate,38,0,1,14
Galbart Glover,50,0,1,1
Garlan Tyrell,23,0,1,16
Gendry,16,0,1,2
Gerald,63,0,1,2
Gilly,15,0,0,12
Goatherd's Son,7,0,1,0
Goatherd,30,0,1,0
Goatherd 2,33,0,1,0
Goldcloak on Kingsroad,41,0,1,2
Gregor Clegane,34,0,1,4
Grey Worm,24,0,1,3
Halder,16,0,1,10
Hallyne,91,0,1,4
Harys Swyft,65,0,1,4
High Septon,65,1,1,13
High Sparrow,67,0,1,13
Hizdahr zo Loraq,25,0,1,3
Hodor,25,0,1,1
Hot Pie,15,0,1,1
Howland Reed,37,0,1,1
Illyrio Mopatis,61,0,1,3
Illyn Payne,67,0,1,2
Innkeeper,40,0,1,0
Innkeeper's Daughter,18,0,0,0
Jaime Lannister,34,0,1,4
Janos Slynt,40,0,1,2
Jaqen H'ghar,38,0,1,1
Jason Mallister,45,0,1,6
Jon Snow,20,0,1,10
Jon Umber,57,0,1,1
Jonos Bracken,46,0,1,6
Jorah Mormont,46,0,1,3
Joss,40,0,1,6
Joss Stilwood,23,0,1,3
Kevan Lannister,66,0,1,4
King's Landing Urchin,11,0,1,0
Kovarro,30,0,1,3
Lancel Lannister,18,0,1,4
Lannister captain,38,0,1,4
Lannister Guardsmen,32,0,1,4
Lannister messenger,24,0,1,4
Lannister soldier,41,0,1,4
Little Bird,8,0,1,13
Little Bird 2,9,0,1,13
Lollys Stokeworth,35,0,0,2
Loras Tyrell,18,0,1,16
Lord of Bones,47,1,1,12
Lordsport dockhand,55,0,1,0
Loreza Sand,7,0,0,5
Lothar Frey,36,0,1,6
Lynesse Hightower,30,0,0,16
Mace Tyrell,44,0,1,16
Maege Marmont,55,0,0,1
Mance Rayder,61,0,1,12
Marei,20,0,0,4
Margaery's handmaiden,17,0,0,16
Margaery Tyrell,17,0,0,16
Marianne Vance,18,0,0,6
Marillion,21,0,1,0
Matthar,18,0,1,10
Meera Reed,17,0,0,1
Melessa Tarly,45,0,0,16
Melisandre,37,0,0,2
Merry Frey,12,0,0,6
Meryn Trant,40,0,1,2
Mhaegen,21,1,0,2
Mikken,55,1,1,1
Mink,16,0,1,10
Missandei,12,0,0,3
Morag,52,0,0,12
Mord,40,0,1,15
Musician,38,0,1,0
Musician 1,37,0,1,0
Musician 2,38,0,1,0
Myrcella Baratheon,11,0,0,2
Night's Watch Man,44,0,1,10
Nymeria Sand,26,0,0,5
Obara Sand,28,0,0,5
Obella Sand,12,0,0,5
Olenna Tyrell,65,0,0,16
Olyvar Frey,19,0,1,1
Osha,28,0,0,12
Othell Yarwyck,60,0,1,10
Paxter Redwyne,45,0,1,16
Petyr Baelish,32,0,1,15
Podrick Payne,15,0,1,4
Pycelle,84,1,1,4
Quaithe,31,0,0,0
Qyburn,85,0,1,4
Ramsay Bolton,29,0,1,2
Randyll Tarly,42,0,1,16
Rickon Stark,9,0,1,1
Robin Arryn,8,0,1,6
Roose Bolton,45,0,1,2
Roslin Frey,19,0,0,6
Ryger Rivers,47,0,1,6
Salladhor Saan,38,0,1,2
Gilly's Baby,1,0,1,12
Samwell Tarly,21,0,1,10
Sansa Stark,15,0,0,1
Sarella Sand,19,0,0,5
Sarra Frey,14,0,0,6
Selwyn Tarth,54,0,1,2
Selyse Baratheon,47,0,0,2
Serra Frey,14,0,1,5
Shagga,50,0,1,4
Shireen Baratheon,6,0,0,2
Shirei Frey,14,0,0,6
Stannis Baratheon,36,0,1,2
Lord Stokeworth,60,0,1,2
Theon Greyjoy,22,0,1,14
Thoros,49,0,1,13
Timett,20,0,1,4
Toad,15,0,1,10
Tobho Mott,60,0,1,1
Tommen Baratheon,12,0,1,2
Tormund,36,0,1,12
Trystane Martell,13,0,1,5
Tycho Nestoris,48,0,1,2
Tyene Sand,23,0,0,5
Tyrion Lannister,36,0,1,4
Varys,50,0,1,13
Victarion Greyjoy,45,0,1,14
Fat Walda Bolton,16,0,0,6
Walder Frey,92,0,1,6
Walder Rivers,34,0,1,6
Waldron Frey,10,0,1,6
Weese,37,0,1,4
Willas Tyrell,30,0,1,16
Asha Greyjoy,25,0,0,14
Yezzan zo Qaggaz,30,1,1,13
Yohn Royce,56,0,1,15
