,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
133,0.93,0.88,4,261,4,0,0,0,sales,medium
134,0.95,0.71,3,263,2,1,0,0,sales,medium
135,0.41,0.48,3,182,2,0,0,0,IT,low
136,0.6,0.99,3,187,2,0,0,0,RandD,low
137,0.77,0.65,3,156,4,0,0,0,product_mng,medium
138,0.64,0.9,5,266,3,0,0,0,support,low
139,0.37,0.51,2,155,3,0,1,0,sales,low
140,0.28,0.59,6,281,3,0,0,0,product_mng,medium
141,0.69,0.53,3,153,3,0,0,0,technical,low
142,0.86,0.97,4,258,3,0,0,0,technical,high
143,0.17,0.55,4,194,3,0,0,0,product_mng,low
144,0.66,0.65,4,244,2,0,0,0,IT,medium
145,0.93,0.97,4,227,3,0,0,0,marketing,medium
146,0.63,0.77,3,176,2,1,0,0,sales,low
147,0.43,0.53,2,146,3,0,1,0,marketing,low
148,0.9,1.0,5,232,5,0,1,0,technical,medium
149,0.43,0.66,4,135,2,0,0,0,IT,high
150,0.36,0.48,2,136,3,0,1,0,support,low
151,0.72,0.58,4,149,3,0,0,0,product_mng,low
152,0.13,0.8,5,203,5,0,0,0,sales,medium
153,0.65,0.97,3,198,3,0,0,0,RandD,low
154,0.6,0.63,5,267,3,0,0,0,support,low
155,0.74,0.63,3,231,3,0,0,0,technical,low
156,0.25,0.9,6,229,8,0,0,0,sales,medium
157,0.67,0.5,5,219,3,0,0,0,IT,medium
158,0.82,0.51,2,268,2,0,0,0,management,high
159,0.24,0.62,5,169,4,0,0,0,support,medium
160,0.54,0.69,4,168,2,0,0,0,management,low
161,0.16,0.81,2,159,6,1,0,0,RandD,low
162,0.73,0.56,3,215,3,0,0,0,product_mng,medium
163,0.61,0.53,4,183,3,0,0,0,marketing,low
164,0.49,0.5,5,183,3,0,0,0,accounting,low
165,0.55,0.49,3,205,3,0,0,0,sales,medium
166,0.86,0.84,3,177,3,0,0,0,sales,medium
167,0.9,0.96,2,258,2,0,0,0,sales,low
168,0.65,0.95,4,153,2,0,0,0,marketing,low
169,0.82,0.75,3,230,4,1,0,0,accounting,medium
170,0.77,0.9,4,237,5,0,1,0,support,low
171,0.82,0.79,3,176,3,0,0,0,technical,low
172,0.81,0.86,5,159,2,0,0,0,accounting,medium
173,0.38,0.79,5,176,3,0,0,0,sales,low
174,0.57,0.92,3,238,2,0,0,0,sales,medium
175,0.66,0.36,3,256,6,0,0,0,support,medium
176,0.1,0.89,7,285,4,0,1,0,IT,low
177,0.37,0.54,2,131,3,1,1,0,hr,medium
178,0.97,0.94,4,253,3,0,0,0,support,medium
179,0.53,0.77,2,271,2,0,0,0,technical,low
180,0.86,0.82,4,252,4,0,0,0,support,low
181,0.9,0.81,4,144,2,0,0,0,technical,low
182,0.96,0.62,4,253,7,0,0,0,sales,medium
183,0.99,0.61,3,167,3,0,0,0,sales,medium
184,0.79,0.9,5,263,5,0,1,0,sales,medium
185,0.57,0.56,3,224,2,0,0,0,sales,high
186,0.37,0.55,2,127,3,0,1,0,RandD,medium
187,0.96,1.0,4,167,2,1,0,0,technical,low
188,0.57,0.85,4,152,3,0,0,0,sales,medium
189,1.0,0.86,4,195,4,0,0,0,support,medium
190,0.75,0.77,5,199,4,0,0,0,sales,medium
191,0.18,0.86,6,264,3,0,0,0,technical,high
192,0.42,0.56,2,103,3,1,0,0,marketing,medium
193,0.28,0.37,3,164,4,1,0,0,accounting,low
194,0.89,0.86,5,275,5,0,1,0,sales,low
195,0.1,0.81,6,271,4,0,1,0,technical,low
196,0.58,0.38,4,203,5,0,0,0,sales,low
197,0.35,0.71,6,204,4,1,0,0,technical,medium
198,0.71,0.93,5,140,8,0,0,0,marketing,medium
199,0.7,0.6,3,187,2,0,0,0,product_mng,high
200,0.37,0.59,3,134,3,0,0,0,technical,medium
201,0.38,0.48,2,134,3,0,1,0,hr,low
202,0.66,0.51,4,254,2,0,0,0,sales,medium
203,0.91,0.71,3,171,2,0,0,0,IT,low
204,0.43,0.5,4,121,5,1,0,0,support,medium
205,0.46,0.38,6,140,3,0,0,0,technical,high
206,0.79,0.53,2,217,2,0,0,0,sales,medium
207,0.63,0.74,5,227,2,0,0,0,technical,low
208,0.59,0.87,4,183,2,0,0,0,sales,medium
209,0.42,0.4,3,160,2,0,0,0,technical,low
210,0.67,0.57,5,215,4,0,0,0,technical,low
211,0.89,0.96,3,122,4,0,0,0,hr,low
212,0.54,0.48,6,196,2,0,0,0,hr,medium
213,0.52,0.49,3,146,2,1,0,0,accounting,medium
214,0.92,0.46,5,195,5,0,0,0,support,low
215,0.78,0.63,5,261,3,0,0,0,technical,low
216,0.75,0.91,4,243,3,0,0,0,technical,high
217,0.46,0.57,2,139,3,0,1,0,sales,low
218,0.16,0.54,5,206,5,0,0,0,sales,medium
219,0.86,0.98,4,270,5,0,1,0,technical,low
220,0.78,0.79,3,203,2,0,0,0,sales,low
221,0.56,0.64,3,238,3,0,0,0,support,medium
222,0.36,0.47,2,148,3,0,1,0,technical,medium
223,0.22,0.62,3,180,3,0,0,0,support,low
224,0.79,0.95,5,228,5,0,1,0,sales,high
225,0.9,0.88,5,254,2,0,0,0,marketing,medium
226,0.78,0.59,5,236,3,0,0,0,technical,high
227,0.81,0.92,4,268,3,0,0,0,sales,low
228,0.96,0.87,5,202,2,0,0,0,marketing,low
229,0.61,1.0,4,133,4,0,0,0,sales,low
230,0.52,0.43,2,199,2,0,0,0,sales,medium
231,0.1,0.84,5,303,5,0,1,0,accounting,medium
232,0.82,0.66,4,238,3,1,0,0,hr,low
233,0.36,0.5,2,132,3,0,1,0,technical,low
234,0.44,0.56,2,145,3,0,1,0,technical,low
235,0.84,0.78,4,263,3,0,0,0,IT,low
236,0.93,0.58,5,238,2,0,0,0,sales,medium
237,0.91,0.8,4,181,3,0,0,0,sales,low
238,0.1,0.97,7,282,4,0,1,0,technical,low
239,0.96,0.85,4,173,3,0,0,0,marketing,high
240,0.93,0.73,4,283,7,0,0,0,sales,high
241,0.9,0.93,3,209,3,0,0,0,product_mng,medium
242,0.9,0.72,4,143,3,0,0,0,IT,medium
243,0.38,0.54,2,112,3,0,0,0,marketing,medium
244,0.43,0.48,2,149,3,0,1,0,support,medium
245,0.74,0.83,3,170,3,0,0,0,management,low
246,0.67,0.84,4,197,2,0,0,0,RandD,low
247,0.91,0.59,3,134,2,1,0,0,technical,medium
248,0.71,0.48,5,114,3,0,0,0,management,low
249,0.1,0.77,6,265,4,0,1,0,sales,low
250,0.79,0.67,4,152,3,0,0,0,technical,medium
251,0.86,0.93,5,208,2,0,0,0,IT,low
252,0.23,0.84,5,140,4,0,0,0,IT,low
253,0.5,0.83,5,258,2,0,0,0,IT,low
254,0.39,0.52,2,129,3,0,1,0,product_mng,low
255,0.79,0.51,4,237,2,0,0,0,IT,low
256,0.83,0.82,5,179,3,0,0,0,technical,low
257,0.17,0.36,6,191,2,0,0,0,product_mng,medium
258,0.86,0.97,4,155,3,0,0,0,management,low
259,0.82,1.0,4,229,6,0,1,0,hr,medium
260,0.84,0.58,4,180,2,0,0,0,sales,low
261,0.11,0.87,6,291,4,0,1,0,product_mng,low
262,0.87,0.77,4,261,3,0,0,0,technical,low
263,0.53,0.91,5,181,3,0,0,0,sales,low
264,0.75,0.5,4,98,4,0,0,0,hr,medium
265,0.53,0.5,4,185,3,0,0,0,hr,low
266,0.66,0.57,4,161,7,0,0,1,management,medium
267,0.82,0.63,3,171,3,0,0,0,sales,medium
268,0.37,0.48,2,160,3,0,1,0,support,low
269,0.78,0.87,4,228,5,0,1,0,support,low
270,0.95,0.62,3,161,3,0,0,0,sales,low
271,0.59,0.95,5,254,2,0,0,0,technical,medium
272,0.83,0.48,4,220,3,1,0,0,support,low
273,0.5,0.85,4,138,3,0,1,0,accounting,medium
274,0.32,0.81,5,111,4,0,0,0,sales,medium
275,0.44,0.56,2,145,3,0,1,0,support,medium
276,0.75,0.97,4,245,5,0,1,0,support,medium
277,0.44,0.65,3,175,2,0,0,0,IT,low
278,0.1,0.81,6,304,4,0,1,0,management,medium
279,0.11,0.87,6,301,4,0,1,0,accounting,low
280,0.68,0.68,3,143,3,0,0,0,sales,medium
281,0.85,0.66,3,234,3,0,0,0,sales,medium
282,0.41,0.52,2,135,3,0,1,0,sales,low
283,0.68,0.44,5,165,3,0,0,0,RandD,medium
284,0.84,0.9,3,262,2,0,0,0,sales,medium
285,0.18,0.84,4,231,5,0,0,0,sales,low
286,0.61,0.62,4,140,3,1,0,0,support,medium
287,0.82,0.58,2,248,6,0,0,0,management,low
288,0.49,0.67,2,190,8,0,0,0,marketing,medium
289,0.11,0.87,5,303,4,0,1,0,IT,low
290,0.89,0.73,3,169,3,0,0,0,support,high
291,0.98,0.58,4,133,3,0,0,0,sales,low
292,0.97,0.62,6,118,2,0,0,0,accounting,low
293,0.76,0.99,2,183,2,0,0,0,technical,low
294,0.4,0.41,4,127,3,0,0,0,IT,low
295,0.38,0.49,2,128,3,0,1,0,technical,low
296,0.75,0.72,5,260,3,0,0,0,sales,low
297,0.49,0.56,4,260,6,0,0,0,sales,low
298,0.84,0.83,4,222,3,0,0,0,RandD,medium
299,0.55,0.64,3,101,2,1,0,0,sales,medium
300,0.63,0.55,3,160,3,0,0,0,sales,low
301,0.36,0.44,4,114,4,0,0,0,technical,medium
302,0.84,0.78,4,263,3,0,0,0,IT,low
303,0.81,0.83,3,196,2,0,0,0,technical,low
304,0.58,0.49,3,167,3,0,0,0,IT,medium
305,0.82,0.97,5,263,5,0,1,0,hr,medium
306,0.95,0.52,3,144,3,0,0,0,sales,medium
307,0.48,0.53,3,211,4,0,0,0,technical,low
308,0.81,0.68,3,236,2,0,0,0,product_mng,medium
309,0.75,0.97,5,243,6,0,1,0,technical,medium
310,0.74,1.0,4,199,4,0,0,0,management,high
311,0.65,0.79,5,266,3,0,0,0,marketing,medium
312,0.73,0.87,5,257,5,0,1,0,IT,low
313,0.09,0.85,7,307,4,0,1,0,management,low
314,0.63,0.56,4,228,3,0,0,0,accounting,low
315,0.81,0.87,4,254,5,0,1,0,marketing,low
316,0.22,0.55,4,261,3,1,0,0,sales,medium
317,0.4,0.46,2,143,3,0,1,0,hr,medium
318,0.43,0.47,2,131,3,0,1,0,accounting,low
319,0.49,0.59,5,140,3,0,0,0,support,high
320,0.53,0.81,3,275,2,0,0,0,technical,low
321,0.63,0.71,5,141,2,0,0,0,RandD,medium
322,0.65,0.53,5,142,3,0,0,0,product_mng,medium
323,0.78,0.92,5,242,4,0,0,0,RandD,medium
324,0.1,0.82,6,244,4,0,1,0,technical,medium
325,0.7,0.54,3,194,2,1,0,0,IT,low
326,0.5,0.65,5,242,3,0,0,0,sales,high
327,0.89,0.96,3,179,8,0,0,0,management,high
328,0.54,0.6,3,209,2,0,0,0,support,low
329,0.1,0.83,6,292,4,0,1,0,support,low
330,0.49,0.57,3,157,3,0,0,0,IT,medium
331,0.89,0.74,5,260,6,0,0,0,technical,medium
332,0.68,0.84,3,270,3,0,0,0,support,high
333,0.54,0.75,4,249,4,0,0,0,support,medium
334,0.92,0.82,4,168,3,0,0,1,support,low
335,0.77,0.92,5,255,5,0,1,0,marketing,low
336,0.66,0.66,3,211,4,0,0,0,sales,high
337,0.65,0.61,5,167,8,0,0,0,sales,low
338,0.71,0.55,4,273,3,1,0,0,RandD,medium
339,0.61,0.42,3,145,4,0,0,1,sales,medium
340,0.67,0.65,3,265,3,0,0,0,product_mng,medium
341,0.55,0.63,4,218,2,0,0,0,management,medium
342,0.96,0.75,4,165,3,0,0,0,technical,high
343,0.61,0.85,4,273,3,0,0,0,RandD,low
344,0.87,0.55,4,197,3,0,0,0,technical,high
345,0.59,0.88,3,159,2,0,0,0,technical,medium
346,0.95,0.5,4,259,3,0,0,0,sales,low
347,0.91,0.92,4,246,5,0,1,0,sales,low
348,0.71,0.54,3,249,3,0,0,0,marketing,medium
349,0.94,0.52,4,217,6,1,0,0,support,low
350,0.65,0.79,4,196,2,0,0,0,accounting,medium
351,0.85,0.82,4,270,5,0,1,0,sales,low
352,0.8,0.94,4,271,4,0,0,1,sales,medium
353,0.5,0.81,3,183,3,0,0,0,hr,low
354,0.52,0.51,3,218,2,1,0,0,technical,medium
355,0.56,0.71,5,243,3,0,0,0,technical,medium
356,0.48,0.6,4,230,3,0,0,0,product_mng,medium
357,0.74,0.67,5,216,3,0,0,0,sales,low
358,0.68,0.88,5,201,3,0,0,0,sales,medium
359,0.4,0.47,2,146,3,0,1,0,sales,medium
360,0.1,0.79,6,291,4,0,1,0,sales,low
361,0.64,0.79,4,139,3,0,0,0,sales,low
362,0.69,0.53,4,281,4,0,0,0,product_mng,medium
363,0.61,0.9,3,224,3,0,0,0,support,low
364,0.76,0.73,3,192,2,0,0,0,technical,low
365,0.37,0.47,2,152,3,0,1,0,product_mng,low
366,0.87,0.6,5,165,2,1,0,0,marketing,high
367,0.81,0.7,4,219,2,1,0,0,hr,medium
368,0.66,0.6,3,179,4,0,0,0,support,low
369,0.52,0.57,4,239,3,0,0,0,sales,low
370,0.11,0.92,6,269,4,0,1,0,accounting,medium
371,0.96,0.48,3,182,2,1,0,0,support,medium
372,0.57,0.9,3,144,2,0,0,0,IT,medium
373,0.57,0.88,3,176,3,0,0,0,support,low
374,0.58,0.63,4,190,2,0,0,0,sales,medium
375,0.64,0.48,4,267,2,1,0,0,sales,low
376,0.6,0.7,5,229,2,0,0,0,technical,medium
377,0.55,0.78,4,261,3,0,0,0,management,high
378,0.14,0.66,5,281,4,1,0,0,accounting,medium
379,0.87,1.0,4,228,5,0,1,0,support,medium
380,0.1,0.85,7,310,5,0,1,0,marketing,low
381,0.95,0.62,4,255,2,0,0,0,sales,medium
382,0.9,0.76,4,252,4,0,0,0,sales,medium
383,0.74,0.91,5,135,3,0,0,0,management,medium
384,0.76,0.92,4,246,5,0,1,0,sales,low
385,0.79,0.55,3,147,3,0,0,0,sales,medium
386,0.2,0.7,4,225,5,0,0,0,support,low
387,0.7,0.76,4,173,2,0,0,0,support,medium
388,0.16,0.56,6,196,3,0,0,0,technical,medium
389,0.99,0.9,4,181,3,0,0,0,support,medium
390,0.9,1.0,4,207,3,0,0,0,sales,medium
391,0.56,0.77,5,238,4,0,0,0,technical,medium
392,0.99,0.7,4,190,4,1,0,0,RandD,medium
393,0.46,0.46,2,140,3,0,1,0,technical,low
394,0.09,0.96,6,259,4,0,1,0,support,low
395,0.75,0.55,3,253,6,0,0,0,IT,medium
396,0.77,0.53,5,256,3,0,0,0,accounting,medium
397,0.73,0.98,4,160,3,0,0,0,IT,medium
398,0.23,0.7,3,123,5,0,0,0,sales,medium
399,0.95,0.89,5,132,4,0,0,0,technical,medium
400,0.66,0.85,3,178,8,1,0,0,marketing,medium
401,0.17,0.85,3,234,3,0,0,0,RandD,low
402,0.09,0.88,6,269,4,0,1,0,technical,medium
403,0.41,0.52,2,127,3,0,1,0,IT,medium
404,0.68,0.61,6,236,3,0,0,0,sales,medium
405,0.85,0.87,5,245,5,0,1,0,technical,low
406,0.83,0.37,5,101,4,1,0,0,support,low
407,0.34,0.46,6,132,2,0,0,0,support,medium
408,0.9,0.67,3,179,2,0,0,0,sales,low
409,0.98,0.66,3,199,3,0,0,0,RandD,medium
410,0.45,0.56,2,146,3,0,1,0,technical,medium
411,0.92,0.96,3,154,2,1,0,0,sales,low
412,0.75,0.89,5,272,5,0,1,0,IT,medium
413,0.94,0.53,5,257,2,0,0,1,sales,medium
414,0.9,0.91,5,176,3,0,0,0,sales,medium
415,0.52,0.86,5,256,3,0,0,0,support,medium
416,0.1,0.85,6,283,4,0,1,0,sales,medium
417,0.67,0.81,5,175,6,1,0,0,technical,medium
418,0.79,1.0,4,218,5,0,1,0,sales,low
419,0.98,0.97,3,196,3,0,0,0,management,low
420,0.11,0.83,6,262,4,0,1,0,hr,low
421,0.41,0.5,6,257,6,1,0,0,support,low
422,0.43,0.47,2,144,3,0,1,0,hr,medium
423,0.59,0.56,4,221,3,1,0,0,technical,low
424,0.61,0.6,3,255,2,0,0,0,RandD,medium
425,0.11,0.94,7,244,4,0,1,0,management,medium
426,0.15,0.86,3,204,4,0,0,0,support,medium
427,0.58,1.0,4,220,10,0,0,0,marketing,medium
428,0.4,0.48,2,161,3,0,1,0,IT,medium
429,0.45,0.5,2,147,3,0,1,0,sales,low
430,0.73,0.96,5,256,6,1,1,0,support,medium
431,0.97,0.66,4,193,4,0,0,0,accounting,low
432,0.84,0.71,4,273,3,0,0,0,technical,low
433,0.69,0.54,4,180,3,0,0,0,marketing,medium
434,0.62,0.89,4,261,2,0,0,0,technical,medium
435,0.16,0.93,5,210,7,0,0,1,management,medium
436,0.96,0.51,5,152,3,0,0,0,support,medium
437,0.55,0.97,4,267,4,0,0,0,management,medium
438,0.55,0.69,4,220,3,1,0,0,management,high
439,0.66,0.61,3,156,3,1,0,0,technical,medium
440,0.84,0.83,4,227,5,0,1,0,accounting,low
441,0.62,0.56,4,267,4,0,0,0,support,medium
442,0.7,0.87,5,239,3,0,0,0,hr,medium
443,0.77,0.52,3,210,3,1,0,0,IT,high
444,0.73,0.83,5,266,5,0,0,0,sales,low
445,0.62,0.77,4,256,3,0,0,0,accounting,high
446,0.54,0.64,3,250,3,0,0,0,sales,medium
447,0.36,0.57,2,142,3,0,1,0,product_mng,medium
448,0.46,0.49,2,138,3,0,1,0,support,low
449,0.58,0.75,4,233,2,0,0,0,marketing,low
450,0.8,0.79,4,148,3,0,0,0,RandD,medium
451,0.17,0.91,2,271,4,0,0,0,sales,medium
452,0.95,0.49,3,158,2,0,0,0,RandD,low
453,0.81,0.57,3,224,2,0,0,0,hr,medium
454,0.94,0.73,5,142,2,1,0,0,IT,high
455,0.53,0.57,5,141,3,1,0,0,technical,high
456,0.1,0.96,7,301,4,0,1,0,hr,low
457,0.5,0.5,5,166,2,0,0,0,support,medium
458,0.66,0.99,5,244,3,0,0,0,technical,medium
459,0.73,0.52,3,274,2,0,0,0,technical,high
460,0.84,0.63,2,162,3,0,0,0,sales,low
461,0.6,0.56,5,268,2,0,0,0,support,medium
462,0.56,0.73,4,226,2,0,0,0,sales,low
463,0.62,0.84,3,270,6,0,0,0,hr,medium
464,0.39,0.5,2,151,3,0,1,0,RandD,medium
465,0.78,0.89,4,137,3,0,0,0,IT,medium
466,0.93,0.86,4,219,3,0,0,0,accounting,low
467,0.52,0.89,3,188,6,0,0,0,marketing,medium
468,0.09,0.85,6,297,4,0,1,0,hr,medium
469,0.49,0.46,2,129,2,0,0,0,RandD,high
470,0.67,0.91,2,245,2,1,0,1,sales,medium
471,0.34,0.81,4,116,3,1,0,0,sales,low
472,0.58,0.96,5,143,2,0,0,0,sales,low
473,0.86,0.95,4,184,3,0,0,0,sales,low
474,0.73,0.93,3,249,2,0,0,0,IT,medium
475,0.43,0.49,2,160,3,0,1,0,technical,medium
476,0.64,0.53,4,163,3,0,0,0,support,medium
477,0.41,0.38,4,142,10,1,0,0,support,low
478,0.97,0.47,3,157,4,0,0,0,marketing,low
479,0.98,0.55,3,166,6,1,0,0,sales,medium
480,0.4,0.56,2,131,3,0,1,0,IT,low
481,0.49,0.59,3,185,3,0,0,0,sales,low
482,0.74,0.87,3,155,3,0,0,0,technical,medium
483,0.68,0.89,4,227,3,0,0,0,technical,medium
484,0.1,0.91,7,297,4,0,1,0,technical,low
485,0.49,0.48,4,249,3,0,0,0,support,medium
486,0.43,0.52,2,158,3,0,1,0,sales,medium
487,0.49,0.99,5,262,2,1,0,0,sales,medium
488,0.22,0.52,5,109,4,0,0,0,product_mng,low
489,0.81,0.86,4,213,3,0,0,0,support,low
490,0.1,0.97,6,307,4,0,1,0,technical,low
491,0.11,0.84,6,287,4,0,1,0,accounting,medium
492,0.55,0.92,3,198,3,0,0,0,sales,low
493,0.5,0.68,3,245,4,0,0,0,marketing,medium
494,0.81,0.66,3,160,2,0,0,0,IT,medium
495,0.11,0.91,6,302,4,0,1,0,accounting,low
496,0.14,0.83,5,175,6,1,0,0,IT,low
497,0.21,0.71,4,270,2,0,0,0,sales,high
498,0.73,0.89,3,226,3,1,0,0,technical,high
499,0.78,0.66,4,214,2,0,0,0,technical,low
500,0.16,0.61,6,269,2,0,0,0,accounting,high
501,0.53,0.67,4,167,2,0,0,0,management,low
502,0.73,0.81,4,245,2,0,0,0,sales,low
